slug,title,category_sec,category_title,date,chars_no_spaces,words,read_min_calc,read_min_declared,flag_readtime,footnote_markers,footnote_defs,flag_footnotes,footnotes_without_source,na_polyah,svyazannoe,upominaetsya_v,links_out,broken_links_count,broken_links,formulas,has_image,lowercase_headings_ok,lowercase_violations,eng_latin_count,eng_latin_tokens,eng_candidates_count,eng_candidates,typo_straight_double,typo_straight_single,typo_hyphen_em,typo_double_space,typo_three_dots,typo_space_dash,typo_total,literacy,literacy_note,material,material_note,actuality,actuality_note,actuality_refs,weird_phrasings,factcheck_flags,grammar
pseudorandom,"Случайность, которой нет.",s05,случайность · симуляция,2026.04,4460,752,5,6,no,3,3,no,0,0,1,1,10,0,,0,no,yes,,16,seed; random; Pseudo; mod; Minecraft; Sequence; Mersenne; Twister; CSPRNG; Linux; dev; Sonic; Python; Ruby; MATLAB; EXECUTION,0,,0,0,0,0,0,0,0,,,,,,,,,,
regression-to-mean,Регрессия к среднему.,s03,поведение · искажения,2026.05,3864,712,5,8,no,4,4,no,0,0,1,1,15,0,,0,no,yes,,14,regression; towards; mediocrity; the; mean; fallacy; Sports; Illustrated; retention; Hereditary; Stature; Journal; Anthropological; Institute,1,the,0,0,0,0,0,0,0,,,,,,,,,,
replication-crisis,кризис воспроизводимости.,s06,аналитика · платформы,,6296,1119,7,,no,0,0,no,0,1,1,1,18,0,,0,yes,yes,,32,Amgen; Nature; file-drawer; effect; p-hacking; Begley; Ellis; Bayer; Prinz; Open; Science; Collaboration; Camerer; Tyner; John; Ioannidis; Why; Most; Published; Research; Findings; Are; False; PLoS; Medicine; prior; Benjamin; Redefine; Statistical; Significance; Human; Behaviour,1,prior,0,0,0,0,0,0,0,,,,,,,,,,
rsa-primes,Замок из простых чисел.,s07,числа · бесконечность · основания,2026.04,4365,787,5,7,no,3,3,no,0,0,1,1,13,0,,0,no,yes,,7,mod; Post-Quantum; Cryptography; Standardization; Kyber; Dilithium; SPHINCS,0,,0,0,0,0,0,0,0,,,,,,,,,,
simpson,Парадокс Симпсона.,s03,поведение · искажения,2026.05,3799,672,4,7,no,4,4,no,0,0,1,1,11,0,,0,no,yes,,36,retention; Bickel; Hammel; O'Connell; Sex; Bias; Graduate; Admissions; Data; from; Berkeley; Science; Charig; Comparison; treatment; renal; calculi; British; Medical; Journal; The; Interpretation; Interaction; Contingency; Tables; Royal; Statistical; Society; Pearl; Mackenzie; Book; Why; Basic; Books; Judea; p-value,3,Data; The; the,0,0,0,0,0,0,0,,,,,,,,,,
simulation,десять тысяч турниров.,s04,спорт · вероятность,,4032,733,5,7,no,5,5,no,0,0,1,1,16,0,,0,no,yes,,3,resulting; Opta; FiveThirtyEight,0,,0,0,0,0,0,0,0,,,,,,,,,,
skin-in-the-game,Шкура на кону. Почему рискующий знает больше.,s01,решения · неопределённость,2026.05,6219,1165,8,8,no,3,3,no,0,0,1,1,15,0,,0,no,yes,,8,skin; the; game; upside; downside; Nassim; Via; negativa,9,skin; the; game; Skin; upside; downside; Game; Via; negativa,0,0,0,0,0,0,0,,,,,,,,,,
small-numbers,Закон малых чисел.,s03,поведение · искажения,2026.05,3768,718,5,6,no,4,4,no,0,0,1,1,15,0,,0,no,yes,,28,Gates; Foundation; Belief; the; Law; Small; Numbers; Psychological; Bulletin; Gawande; Cancer; Cluster; Myth; New; Yorker; Wainer; Zwerling; Evidence; That; Smaller; Schools; Not; Improve; Student; Achievement; Kappan; p-value; p-hacking,2,the; The,0,0,0,0,0,0,0,,,,,,,,,,
terminal,терминал.,s08,история · культура,,3351,654,4,6,no,9,9,no,0,0,1,1,6,0,,0,no,yes,,19,ASCII-; Unix; VT100; Teletype; Model; Linux; dev; tty; ADM-3; ADM-3A; vim; American; Airlines; real-time; Apple; Xerox; Alto; VT52; ANSI-,0,,0,0,0,0,0,0,0,,,,,,,,,,
trust-but-verify,"доверяй, но проверяй",s10,теория игр,,10398,1828,12,,no,0,0,no,0,1,1,1,25,0,,0,no,yes,,33,Jervis; Cooperation; Under; the; Security; Dilemma; World; Politics; Evolution; Trench; Warfare; Live; and; Let; System; threat; that; leaves; something; chance; Strategy; Conflict; Alternative; War; Surrender; Graduated; Reciprocation; Tension-reduction; Kennedy; Experiment; Western; Political; Quarterly,3,Under; the; The,0,0,0,0,0,0,0,,,,,,,,,,
two-alphabets,два алфавита.,s08,история · культура,,4408,769,5,6,no,9,9,no,2,0,1,1,28,0,,0,no,yes,,12,p-value; Biometrika; University; College; Statistical; Methods; for; Research; Workers; The; Design; Experiments,1,The,0,0,0,0,0,0,0,,,,,,,,,,
two-sided-markets,Математика двусторонних рынков.,s06,аналитика · платформы,2026.05,4118,691,5,8,no,4,4,no,0,0,1,1,10,0,,0,no,no,модель Роше–Тироля,49,Airbnb; Uber; App; Store; WhatsApp; growth; loop; Adobe; Reader; Acrobat; Pro; Fake; till; you; make; eBay; PayPal; unit; economics; matching; quality; take; rate; multi-homing; multi-home; Wildberries; Ozon; single-home; liquidity; Platform; Competition; Two-Sided; Markets; Journal; the; European; Economic; Association; College; Admissions,4,take; Take; the; Mark,0,0,0,0,0,0,0,,,,,,,,,,
two-systems,Две системы.,s03,поведение · искажения,2026.05,3198,555,4,7,no,4,4,no,0,0,1,1,11,0,,0,no,yes,,23,expected; utility; nudge; Anchoring; Availability; heuristic; Substitution; pre-mortem; Cognitive; Reflection; Test; Journal; Economic; Perspectives; Thinking; Fast; and; Slow; ego; depletion; effect; Prospect; Theory,3,expected; utility; Test,0,0,0,0,0,0,0,,,,,,,,,,
uncertainty-knight,Риск против неизвестности.,s01,решения · неопределённость,2026.05,9729,1707,11,11,no,4,4,no,0,0,1,1,12,0,,0,no,yes,,15,VaR; Frank; Risk; Uncertainty; and; Profit; John; Maynard; Keynes; Treatise; Probability; simply; not; know; Value-at-Risk,1,Risk,0,0,0,0,0,0,0,,,,,,,,,,
underdogs,почему побеждают слабые.,s04,спорт · вероятность,,4570,861,6,8,no,6,6,no,0,0,1,1,20,0,,0,no,yes,,6,expected; goals; Opta; Professionals; Play; Minimax,1,expected,0,0,0,0,0,0,0,,,,,,,,,,
unit-economics,Юнит-экономика.,s06,аналитика · платформы,2026.05,3388,611,4,8,no,4,4,no,0,0,1,0,5,0,,0,no,no,LTV и CAC; LTV через когорты; от юнита к PnL,39,subscription-; Lifetime; Value; Gross; Margin; Churn; Rate; Customer; Acquisition; Cost; contribution; Retention; M12; NBD-; Pareto; Take; Marketing; PnL; Bottom-up; EBITDA; unit; payback; ratio; SaaS-; Matrix; Partners; Metrics; Beta-Geometric; Negative; Binomial; Distribution; Fader; Hardie; Lee; growth-; Andreessen; Horowitz; tech-; ad-tech,2,Value; Take,0,0,0,0,0,0,0,,,,,,,,,,
value-betting,плюсовое ожидание.,s09,ставки · вероятность,,5395,1074,7,,no,0,0,no,0,1,1,1,11,0,,0,yes,no,сколько ставить · критерий Келли; откуда взялся Келли · теория информации; почему полный Келли опасен,15,Bell; Labs; value; betting; log-; New; Interpretation; Information; Rate; System; Technical; Journal; Beat; the; Dealer,2,value; the,0,0,0,0,0,0,0,,,,,,,,,,
via-negativa,Via negativa. Сила вычитания.,s01,решения · неопределённость,2026.05,6124,1071,7,7,no,2,2,no,0,0,1,1,13,0,,0,no,yes,,3,Via; negativa; Antifragile,4,Via; negativa; via; Antifragile,0,0,0,0,0,0,0,,,,,,,,,,
who-sets-odds,кто назначает коэффициент.,s09,ставки · вероятность,,9113,1652,11,,no,0,0,no,0,1,1,1,12,0,,1,yes,yes,,15,Pinnacle; Circa; Bookmaker; Betfair; closing; line; value; Kalshi; Las; Vegas; Pew; Research; The; Block; implied-,3,line; value; The,0,0,0,0,0,0,0,,,,,,,,,,
why-simulation,"почему симуляция, а не формула.",s05,случайность · симуляция,,3953,723,5,7,no,5,5,no,1,0,1,1,17,0,,0,no,yes,,1,decelerating,0,,0,0,0,0,0,0,0,,,,,,,,,,
xg,"xG, или счёт врёт.",s04,спорт · вероятность,,3455,709,5,7,no,6,6,no,1,0,1,1,14,0,,0,no,yes,,10,expected; goals; resulting; Opta; Moneyball; and; soccer; Match; the; Day,2,expected; the,0,0,0,0,0,0,0,,,,,,,,,,
zero-history,История нуля.,s07,числа · бесконечность · основания,2026.05,3155,590,4,6,no,5,5,no,0,0,1,0,4,0,,0,no,yes,,8,Liber; Abaci; MCMXCIX; algebra; algorithm; zefiro; zero; cifra,0,,0,0,0,0,0,0,0,,,,,,,,,,
zero-point-nine,0.999… равно единице.,s07,числа · бесконечность · основания,2026.04,2607,529,4,6,no,3,3,no,2,0,1,1,6,0,,0,no,yes,,0,,0,,0,0,0,0,0,0,0,,,,,,,,,,
zfc-independence,"Математика, которую нельзя доказать.",s07,числа · бесконечность · основания,2026.04,4566,772,5,7,no,3,3,no,0,0,1,1,11,0,,0,no,yes,,0,,0,,0,0,0,0,0,0,0,,,,,,,,,,
